Tweets,Class
ıkhan ncamizkislasi köy mecco mahallesi nokul sokak no 10 nmustafa kahraman n05367052962nn2 aile çadır yok acil yard gerekmek römork kalıyorlarmıs lütfen pay,1.0
ay lütfen güncel teyit hatay kırıkhan karmak köy acil 250 hane çadır ısıtmak ihtiyaç varn05314652195nkoyunları merkez inmek,1.0
eyhan tatarli köy insan 1haftadir yemek bulamiyoruz demek acil yemek icecek battaniye lazim yakin olmak allah rizasi yâr edinmek yalvariyo insan 0535 675 30 48,1.0
nlik kahramanmaraş ebrar site k blok tek bir devlet görev yok aile kavga etmeyebşldsenin ceset çıkmak ceset çıkacak acil afad yetkili istemek aramak dönüşmek yok,1.0
ay lütfen güncel teyit hatay kırıkhan karmak köy acil çadır ısıtmak ihtiyaç varn05314652195nkoyunları merkez inmek,1.0
saat 1500 teyit nacil 1 âdet çadır gerekmek nnosman kurt ntel 05421161504 nadres buhar mahallesi 9 sk no43 hassahataynnnnnnnn,1.0
akya nsamandağ guzeloba köy bir aile acil çadır ihtiyaç yapmak telefon görüşme çaba çadır te etmek söylemek isim ramazan deniz 05377220589,1.0
iis adıyaman tut öğütlü köy acil çadır ihtiyaç var nnnn,1.0
tanbul kriz masa üremek firma bizzat konuştumnafad koordinatör elbistan 2000 konteyner içermek bir âlâ yapmak lojistik tır destek aciln13022023 gün 10 tır yüklemek olmak ücret lojistik ihtiyaç httpstcogqm6pacftk,1.0
n tut öğütlü köy acil çadır ihtiyaç var nnnn,1.0
adaş telefon aramak sade birtane çadır ihtiyaç köy demek yemek kahramanmaraş acil lütfenn önder sönmek 0 544 389 89 07,1.0
ent acil çadır erzak lâzım ahbap haluk levent deprem çadır erzak yard afad taha duymak oyyy earthquaketurkey helpturkey turcja adamak deprem hatay deprem afet türki insan ufo pentagon,1.0
n tut öğütlü köy acil çadır ihtiyaç var nnnn,1.0
il malazgirt mah 2351sokak eskimek zey yol enkaz altın yakın çıkmak beklemek 3035 kişilik depremzede çocuk aile acil çadır ihtiyaç var özel ı telefon numara atarımnnnnhttpstcoynh2vrpbg9,1.0
ütfen nçok acil anlık nhatay fark yaşam rende site papağan ağız iş makine aramak n,1.0
merhabanndeprem bölge yemek giyecek aramakurtarma tıbbî malzeme acil temel ihtiyaç karşı ad afad ekip çalışmak deva etmek alo 112 acil çağrı merkezî iletmek geçmek rica ederiznbilginize sunmak,1.0
iğne babal acil yard bek su yemek ca httpstcox3dzc4cfv8,1.0
ziye han ekip ora çalışmak nnpaletli küçük kep lâzım acill nnodabaşı mahallesi morgül sokak no 23 fark yaşam rende site hatay antakyan0506 174 16 20nnacil arkadaş lütfen palet küçük kep lâzım,1.0
merkez bağ rezip köy acil gıda ihtiyaç yard gitmek ciddi sıkıntı yaşamak niletişim 90 539 439 87 77n,1.0
aki depremzede te su şua büyük acil ihtiyaç biri bizzat ora arkadaş söylüyornndeprem bölgelerıne temız sunhataya temız sunnhttpstcovl9dbvtbxz,1.0
uyku tulu ihityacı nndursunlu mah 1807 sokmak no3 defnehatayncemil sasaoğlu 0554 436 45 08nteyitli 13022023 1316nlütfen paylaşınnnf16 emniyet genel müdür,1.0
araşta acil çadır ihtiyaç lütfen çadır göndermek dağıtım yardımcı o n,1.0
3nnilüfer hatun ortaokulunacil acil acil ndeprem bölge acil ihtiyaç liste nlütfen hemen te edip göndermek httpstcowpabnvc9d3,1.0
ent hatay altınözünnacil çadır ihtiyaç vardırnirtibat 90 533 475 48 89n,1.0
kişi kopyalayip atsin acil yayilmali nndiş macun diş fırça şampuan sabun acil ihtiyaç varnndeprembölgesine hijyenihtiyaç,1.0
yeşilyurt ntecde mahallesi nçadır soba ihtiyaç acil niletişim numara 05548433781n,1.0
teyit hav soguk acil yard yemek giyecek battaniye gerekmek yard edinmek rica etmek httpstco3lwuu9egt9,1.0
lgesinde başıboş kalan açmak susuz üşümek telef olmak risk karşıkarşıya binlerce sığır koymak bölge acil hayvan yemin ihtiyaç yardımsever ilgi duyurulurnn,1.0
rıkhana acil beş tane çadır lâzım hav şart hiçbirşey u dışarı kalmak 5 aile lütfen yard edelimn irtmustafa ateş aydın mah 620 sokak no 42 0536712 80 93 cok zor durumdalarnnnn,1.0
takya odabasi mahallesinuğur mum caddesinsüleyman mutlu apartman nakademi hastahane karşı nannacil afad ekip lazımnnbinada kişi 8 gün çıkartılamadıniletişim nadem vural 0542 772 95 51nnnn,1.0
35 ton ekskavatör büyük kırmak ihtiyaç afad ekip gelmek askerî dü gece gelmek bırakmak gittilernngündüz cadde bostan sokmak tapu kadastro karşı kutay ailesinn iletmek 0544 588 3995 rasus kimya hatay voleybol takı koç,1.0
takya odabasi mahallesinuğur mum caddesinsüleyman mutlu apartman nakademi hastahane karşı nannacil afad ekip lazımnnbinada kişi 8 gün çıkartılamadıniletişim nadem vural 0542 772 95 51nhakan vural 05388603968nibrahim vural 05445450166 httpstcokro7yy4njv,1.0
ahallesi 432sokak saray apartman antakya nazra çolak 18 aylıknrasime çolak nmehmet çolak nçok acil ekip destek gerekli enkaz altın yard edinmek httpstcovpm1plzcxz,1.0
haber alınmak haydar merve kız adamak hatay antakya 4akevler sokak ıraz apartman aile ekip yeter termal kamera vinç yeter 7 gün u acil rt httpstcoernd4an82r,1.0
hataynkuzeytepe taraf ordu bitlis abla arkadaş afada gönül gelmek 30 kişi çadır ihtiyaç te etmek yardımcı olabilecek acil dışarı kalmak şirin sk 17 31030 hatay merkez hatay türki,1.0
araş türkoğlunnacilnndepremzede yaş bir aileyennkuru gıdanyakacakısınmaısıtıcı malzemenvarsa çadır ev yokniçecek malzemesinayşe yücenn05315623559nnnnnnnnn,1.0
e acil çadır ihtiyaç hayvan insan bırakmak bir yer gitmek zor durumdalarnbüyük çekmek mah 8206 sokmak no8 defnehataynbilge armuttel05071688044n,1.0
güzel tedbir al 100 kontaynır yeterli şua yeter tabıkı burs şua acil duru doguda ca konteynarlar kurulamak sürekli gelmek lâzım şua koordinasyon eksıklıgı azı afad el olanları bilemek hemen sevk etmek,1.0
h belenhatay çadira ihtiyaç acil iletmek 90 507 956 44 23 gülşah han,1.0
r güncel teyit lütfen yardımcı olabilir mi nnacil ihtiyaç nn1afad çadırın2battaniyen3ıslak mendil peçeten4üst polar n5iç çamaşırın6çorap nnadres kumluakkerpiç köy atatürk cadde 1412 sokak no5 hataynniletişim 05317851798,1.0
3t şua enkaz baş afad gönül vardün 15 kişilik ekip spor salon düşmek sıcaklık ses almak maden söylemek bugün ses alındı acil 40 ton uz bom ekskavatör makine gerekiyornanadolu teyit grubuntarih saat 13022023 107,1.0
nşafak kutay aile acil afad gerekmek çalışmak durdurmak can ölü terketmek yard edinmek ngündüz cad bostan sk yeşilyurt apt 1 kat2,1.0
nşafak kutay aile acil afad gerekmek çalışmak durdurmak can ölü terketmek yard edinmek ngündüz cad bostan sk yeşilyurt apt 1 kat2,1.0
akpınar köy acil çadır erzak yard lütfen hatay serinyol bağ 29 kişi,1.0
azmak hız u kurtarmak sayı belli enkaz sayı fazlanntetanos kuduz patlamak hayvan tedavi acil çadır lazımnnvatandaş hak el imkân yok afad gönüllüsünniskenderundan izlenimlernnhttpstcopıkmoacsgj,1.0
hoşgör park acil afad çadır konteyner lâzım insan kurmak çadır kalmak lütfen acil,1.0
akşam antep 20 25 kişi odun bitmek yemek yok battaniye çadır yok afad enkaz çıkanlara önce vermek yard etmek söylemek acil yâr,1.0
uğu süre umut vardırnnacil yard lütfennantakya ürgenpaşa mhatatürk cd suphi karakaya aparmak no 67nenkaz altındalarkurtarma ekip gelmek ngülay altunnsemra sağırnyunus emre sağırnmüslüm sağırngülay sağırn,1.0
ayar mısınıznn hatay altınözü tokdemir köy 1500 kişi acil sade sade çadır ihtiyaç köy yaş hasta çocuk bebek varnirtibat mustafa serpmek 05358550489,1.0
arkadaş acil ısıtmak destek gerekmek söylemek sayı insan soğuk kalan deprem bölge acil ısıtmak destek bir ufo huron gö deprem 7,1.0
ınnceyhun atuf kansu cadde no 128 balgat ankaratürkiye adres sanmak mhp lider bahçe 6 gün haber alınmak bilgi edinmek acil afada bilmek azı müdahale etmek httpstcocqk5obin7b,1.0
han acil çadır gerekmek ev hasar çevre yer ge sayı insan lütfen kalmak yemek yardımcı olalım,1.0
ndonur site enkazinda yüz can a3 blok termal ısı tespit ragmen afad görev yapmiyor acil yâr destek lutfen zaman cok daraldin,1.0
ında yaşamak acilnteyıt 12 şubat 2230 ekip ısı tespit etmek kaz görmek tekrar ekip istemek yaşam belirti varnhayrullah mah erciyes apt b blok 33017 sokak belediye karşısıkahramanmaraşnilaf antaklı 05550175725n,1.0
afad nacilll gaziantep ev kalan hasta yaş depremzede acil yard edinmek,1.0
ahallesi 6 akevler sokak bayraktar apartman kat1 no3 antakya hatay nibrahim halil yıldırım enkaz altın acil yard ihtiyaç lütfen yaymak n n,1.0
i0 teyit çadır vinç afad ses ses yok termal kamera acil enkaz yard artçı fay hat levha yanal at,1.0
merkez bulmak karahöyük köy acil yard gerekmek çadır giysi gıda bebek bez dahil acil ihtiyaç yard u küçük çocuk zor duru lütfen acil yard edinn,1.0
izpınar mahallesi ikizpınar küm ev no 7 kale malatya neslihan kaymak yakacak erzak ihtiyaç 4 aile acil u var iletmek numara vermek,1.0
acil lütfen hijyen yok su yok bura duru acil vatandaş zor duru hatay samandağ köy sutaşı mahallesi nhttpstco0b86rgqxa9,1.0
akya bölge acil gıda battaniye ısıtmak çadır eksik bulmak bölge bulmak irtibat geçmek teyit etmek iletmek bilgi bilal toprak 905383260856nn,1.0
r ilân hesaplamak iletisime geçmek mi acil nnhatayda köy gitmek temel gıda kalmak konu sistem yok yayarsaniz bir faydasi olurnnnnhttpstcoeu0mf8tksy httpstcocvodi0y0eb,1.0
uz maden mh idil sk no 53 iki küçük bebek 3 aile acil çadır yardım ihtiyaç nniletişimnalper öztaşn0530 170 8783nnteyitli,1.0
ay nhatayda termal kamera u yapmak saha gönül var yazmak mi acil duru çevre numara yaymak mı 905392659047nnteyit 13 şubat 0012,1.0
bebek aile acil çadır gereklidirncamseki mahallesi emerce sokak no6 kırıkhanhatayntel 05528047882nfurkan şafak teyit bilgi,1.0
atay camseki köy emerce mah no 6 bebek aile çocuk ev hasar ev giremiyolar günlemek dışarı sokak bekliyolar bi yard gelmek acil çadır gıda ısıtmak battaniye vb nolur paylaşmak acil,1.0
hallesi 96 067 sk no 6 d bina no 156 73 3 51 k maraş kadın ad fatma iki çocuk adres bahçe beklemek acil çadır kalmak yermek ihtiyaç var irtibat nosu 0552 742 0717 yak var nn,1.0
cil rt yapalımnçiğdede mah 430 sk no 17 hataysamandağnacil jeneratör yakıt ihtiyaç yan içmek çamaşır yağ şeker ihtiyaç varnsalih fırıncıoğulları 0536 994 03 05nnnnn,1.0
cuoglu teyit hatay camseki mahhallesi emerce sokak no 6 bebek aile çocuk ev hasar ev giremiyolar günlemek dışarı sokak bekliyolar bi yard gelmek acil çadır gıda ısıtmak battaniye nolur paylaşmak,1.0
07nahmet tercannadıyamanbesnibeşyol köyünacil çadır ihtiyaç varküçük çocuk hastalanmışlrafad numara ulaşım sağlamak yard ihtiyaç varyayalm ltfn,1.0
ovz teyit hatay camseki mahhallesi emerce sokak no 6 bebek aile çocuk ev hasar ev giremiyolar günlemek dışarı sokak bekliyolar bi yard gelmek acil çadır gıda ısıtmak battaniye vb nolur paylaşmak acil,1.0
atay camseki mahhallesi emerce sokak no 6 bebek aile çocuk ev hasar ev giremiyolar günlemek dışarı sokak bekliyolar bi yard gelmek acil çadır gıda ısıtmak battaniye vb nolur paylaşmak acil,1.0
ında yaşamak acilnteyıt 12 şubat 2230 ekip ısı tespit etmek kaz görmek tekrar ekip istemek yaşam belirti varnhayrullah mah erciyes apt b blok 33017 sokak belediye karşısıkahramanmaraşnilaf antaklı 05550175725n,1.0
ah gölbaşı acil çadır ihtiyaç çocuk aile perişan duru erzak hayatî yardım bulmak çadır u acil dost çadır u biri var ulaşsın0553 436 19 80,1.0
05368303507nahmet tercannadıyamanbesnibeşyol köyünacil çadır ihtiyaç varküçük çocuk hastalanmışlrafad numara ulaşım sağlamak yard ihtiyaç varyayalm ltfn,1.0
si hoca malesef n05368303507nahmet tercannadıyamanbesnibeşyol köyünacil çadır ihtiyaç varküçük çocuk hastalanmışlarafad numara ulaşım sağlamak yard ihtiyaç varyayalm ltfn,1.0
sajı paylaşıyorumnnyeni teyit edildinnkahramanmaraş dulkadiroğlunyavuz sultan selim mh haydarbey cd no 69n4 kişi kış kıyafet ayakkabı çorap yakacak gıda tüp gerekiyornnfiliz koç 05386152802nnafad ahbap haluk levent acil,1.0
07nahmet tercannadıyamanbesnibeşyol köyünacil çadır ihtiyaç varküçük çocuk hastalanmışlrafad numara ulaşım sağlamak yard ihtiyaç varyayalm ltfnn,1.0
r acil paylaşım yapınnnçok acil gaziantep çadır battaniye çocuk bez ısıtmak lazımnn05428320408n n,1.0
zcüler mah pınarbaşı cadde 42sokak no 95 hatayarsuznçadır ihtiyaç vardırniletişim 90 535 240 49 40nçağla tümkayan,1.0
araşpazarcık sadak yeşilkent köy acil çadır lâzım insan soguktan donamak sade 2 çadır gitmek aciln,1.0
ımızda acil çadır battaniye seyyar tuvalet ihtiyaç üç gün çadır bulmak lütfen yardım adıyaman ilmek yön,1.0
araş tekir mahallesi 1 aile ateş baş hayat kalmak çalışmak hayvan şehire gitmek acil çadır lâzım numara aramak teyit etmek nirtibat no0553 304 5622nnoğuzhan uğur taha duymak ahbap afad enkaz bulmak yağma,1.0
anlik deprem sonra zor duru bir arkadaş çadır ihtiyaç bilgisikazım akgülntel 0538 706 1600nelmalar mahallesi dulkadiroğlukahramanmaraşnacil çadır lâzım bir çadır 30 kişi araba 5 kişi yaşamak,1.0
nca 100 kilo kahve tüketmek 50 kg kahve 20 kg latte ihtiyaç var acil yaymak lütfen,1.0
05368303507nahmet tercannadıyamanbesnibeşyol köyünacil çadır ihtiyaç varküçük çocuk hastalanmışlarafad numara ulaşım sağlamak sürekli meşgul çaliyor yard ihtiyaç varyayalm ltfn,1.0
anmak enkaz altın çıkmak hakkında bilgi alamıyoruzhastaneye isim kalmak olabilir lütfen acil yard niletişim abis nevzat avan 90 545 428 93 65nhttpstcofcjuxenjf4,1.0
acılyardım uzunbağ mahallesitepe sokak no 2 samandağ hatayn05422029981nacil çadır ihtiyaç var dost lütfen paylaşmak yaymak yardım dok,1.0
ortak mahallesineköyü acil 2 tane çadır lâzım lütfen yardımcı olalımntalip 05437659314n,1.0
öğrenci nadıyaman dağ ev adıyaman girmek dost petrol yolmak üst sağmak kalıyorlar acil ilâç kiyafe ic çamaşır ihtiyaç httpstcorlumbtıfqu,1.0
eyitli hav soguk acil yard yemek giyecek battaniye gerekmek yard edinmek rica etmek httpstcoukj7evqxde,1.0
haber yok hayat bilmek lütfen rönesans rezidans yoğun bir ekip vinç gitmek bir sürü hayat söz konu nolur httpstcorjbh7e2pe3,1.0
atyada çığlık köy acil portatif tuvalet ihtiyaç lütfen u 0 541 649 41 44 erdal erbaş,1.0
residence acil kamyon lâzım hafriyat içinn,1.0
3n2120nacil su gıda ihtiyaç bir aile 9 birey sahip nkiltepe mahallesi setrek sokak no 19 yeşilyurt malatyanilhan taşn0543 454 29 89,1.0
07nahmet tercannadıyamanbesnibeşyol köyünacil çadır ihtiyaç varküçük çocuk hastalanmışlrafad numara ulaşım sağlamak yard ihtiyaç varyayalm ltfnnn,1.0
d çadır 4 numara bezmek battaniye 6 yaş çocuk giyecek bebek gerekli var iş yunus emre celayir kahramanmaraş dulkadiroğlu yahya kemal mah 72114 sk no 42nne olur allah rıza acil çadır lâzım üç aylık bebek 0 530 146 20 31,1.0
ütfen yard edinmek karapınar mahallesi 2714sokak örenkent site b blok merkez adıyaman 7 kat bi bina çalışmak sürümek ekip yorgun arkadaş kardeş yard beklemek,1.0
lep sarmak hasta bende kalp yetmek hiper tansiyon hasta ciğer zature varn3 kişi hani çift kültür cadde no 179 battalgazi malatyanmuzeyyen taşn0536 916 39 92nacil sade çadır lazımnn,1.0
2 cocuklu aile adamak deprem ev hale gelmek allah rıza yard istemek acil yâr ev leri yıkmak adamak seyhan httpstco11rpglk1w8,1.0
rn9 kişilernbulutoğlu mahallesi köy menzelet sokak no 23n05468048185nn teyit,1.0
r lâzım 3 aile hatay sera kalıyor acil çadır içmek çamaşır temel ihtiyaç lâzım acilll,1.0
gıda kıyafet önce içmek çamaşır 0551 947 05 29 ihtiyaç acilulaşımları yoknnfırnız alabalık kahramanmaraş onikişubat suçatı mahallesi fırnız sokak 70a46196 onikişubatkahramanmaraş,1.0
n ilgi artik malatya yesilyurt karagöz cadde yavuz sultan selim mah cya 11 no 14cadir battaniye isitici gida hersey lazim 35 aile kâr disarida yaşamak yolmak yikilmis ulasim sikintili 0538 958 59 42 hatun yabaş httpstcow70vw5rfga,1.0
gur acil çadır ihtiyaç nurfa bozova eskimek köy iki âdet afad çadır bırakmak köy ciddi çadır ihtiyaç varnlütfen yard ede nirtibat kurmak kişi mustafa hakk akgünn0 545 202 56 32nfevzi çakmak mahallesi ceyla sokak no10 urfa bozova,1.0
r ihtiyaç nurfa bozova eskimek köy iki âdet afad çadır bırakmak köy ciddi çadır ihtiyaç varnlütfen yard ede nirtibat kurmak kişi mustafa hakk an0 545 202 56 32nfevzi çakmak mahallesi ceyla sokak no10 urfa bozova n,1.0
0000 no hatay acil duru hatti çökmek lütfen müdahale ede vatandaş telefon üzer çadır talep bulmak bulmak olanlar,1.0
taymerkez çadır yard iletmek numara lâzım lütfen aciln,1.0
teyit hav soguk acil yard yemek içecek su battaniye gerekmek yard edinmek rica etmek httpstcowabgg0vg4q,1.0
ar acil rt nhatay defne ilçe koçören köy acil 2 çadır ihtiyaç nirtibatn05388545144nnnn,1.0
enkaz yoklutfen yayalımmimar sinan mah alpaslan türkeş bulvar fazilet apt akmak ekmek fır üst onikişubatkahramanmaraş httpstcoyosdufsz0p,1.0
merkez dandırmaz köy acil çadır battaniye ihtiyaç hav 5 derece,1.0
nlik hatay iskenderun müftü köy acil ca lazımmneden yard etmek bura magdur duru,1.0
anmak ge aram kurtarmak ekip kafa lamba pil bitmek acil destek istemek paylaşmak lütfen,1.0
r ihtiyaç nurfa bozova eskimek köy iki âdet afad çadır bırakmak köy ciddi çadır ihtiyaç varnlütfen yard ede nirtibat kurmak kişi mustafa hakk akgünn0 545 202 56 32nfevzi çakmak mahallesi ceyla sokak no10 urfa bozova,1.0
7 kişilernacil ekskavatör kep gerekmek afad ekip anmak adres ekskavatör kep gitmemişnürgen paşa mah 3124sok no396 antakyahatay nenkaz altın kişi 0534 551 70 00 nilgili kişioğlu 0505 018 88 00 n12 şubat 1950,1.0
fne ilçe tavlamak mahallesi acil 4 kişilik çadır lâzım iletmek gazi gü 05358896434,1.0
adres teyit bir adres 3 fark grup gitmek köy dahil afad kızılay görüş muhtar öğretmen aracı gitmek sade acil teyiylileri yazalm çadır yok,1.0
kişilik aile çadır kalıyor battaniye yok niskenderun karaağaç konarlı mah sade battaniyenonur deve muhtar köy telefon çekmek neski kullanmak farketmek battaniye üşmek n0536 611 3493nsms iletmek kurabilirsinizn,1.0
araş türkoğlu yeşil yöre çiçek mahallesi acil erzak gıda yard bekliyornniletişim 0534 215 02 90 ömer taşhan,1.0
merkez dandırmaz köy acil çadır battaniye ihtiyaç hav 5 derece,1.0
n adres engel bir vatandaş mevcut soğuk hav koşul sebep acil ısıtmak göndermek gıda yemek yapmak küçük tüp ihtiyaç var nnirtibat hacer arı 05370451299nnnnnhttpstcoodgxmlzitx,1.0
gelmek şafak kutay aile acil afad gerekmek çalışmak durdurmak can ölü terketmek yard edinmek ngündüz cad bostan sk yeşilyurt apt 1 kat2,1.0
aki gönül arkadaşımızdannnafad çadır gitmek çadır yeter varolmak çadır temel sıkıntı yer tuvalet yok seyyar tuvalet banyo acil kurulmalıacilyoksa bir sürü hasta vb sorun çıkacakn,1.0
ezidans acil 23 âdet 500 ton vinç lâzım saha teyit arkadaş 7günümüz yardımcı o kaymak 900 kişi 05377007909,1.0
hramamarasnnacil çadır erzak ihtiyaç ncemil ırmakn0546 910 4614 nkahramanmaraş göksun çağlamak mah çağlamak küm ev no135 7 kişi 2 si yaş,1.0
